i,l,i,l,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,l,i,w,r,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1966.7,2146.2,2277.3,2506.4,2764,2861.8,2938.2,3055.1,3223.2,3337.2,3445.9,3546.2,3630.7,3737.7,3811.9,3929.6,4095.5,4220.4,4329.6,4406.4,4525.2,4714.5,4833.9,4945.2,5047.2,5133.2,5239.6,5315.5,5438.4,5733.7,5887.4,5992.9,6150.5,6330.9,6501,6618.3,6727.8,6828.4,6913.9,7021.2,7097.5,7215.8,7492.7,7644.4,7748.3,7899.8,8080.8,8257.3,8377.8,8486,8587.7,8673.1,8781.5,8856.9,8975.4,9194.5,9314.4,9422.1,9524.5,9611.8,9718,9795.2,9913.2,10246,10391,10496,11401,11519,11678,11788,11951,12057,12233,12340,12506,12696,12835,12945,13021,13136,13285,13407,13516,13617,13703,13809,13885,14007,14307,14502,14608,14871,14980,15136,15237,15314,15431,15611,15727,15840,15942,16030,16137,16217,16337
2013.9,2183.6,2344.9,2548.3,2816.5,2920.9,2995.7,3132.6,3293.6,3410.8,3511.1,3602.2,3687.2,3797,3867.8,4007.6,4169.4,4292.7,4393.8,4466.7,4603.6,4788,4909.1,5010.7,5105.7,5194.4,5304.8,5381,5514.2,5781.4,5926.4,6060.4,6274.6,6408.9,6573.8,6689.3,6792.9,6885.1,6975.2,7085,7155.9,7295.1,7548.7,7686.3,7815.6,8026.5,8159,8330.9,8450,8551.5,8645.3,8730.1,8846.5,8913.4,9055.8,9266.6,9389.5,9489.2,9583,9669.4,9783.7,9851.1,9993.7,10301,10436,10558,11436,11570,11720,11852,11994,12126,12274,12401,12638,12770,12906,13009,13084,13217,13359,13480,13582,13674,13758,13873,13945,14086,14356,14543,14675,14909,15052,15193,15301,15374,15511,15683,15800,15905,15999,16090,16202,16271,16415
