l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n
1995.1,2158.1,2326.5,2446.2,2622.2,2725.5,2868.4,3050.5,3214,3330.3,3437.9,3510,3624.9,3775.9,3894.2,4005.2,4078.3,4191,4387.2,4514.1,4623.9,4722.2,4804.8,4908.8,4981.6,5101.5,5420.4,5601.4,5704,5940,6044.3,6283.8,6420.8,6610.7,6715.1,6862.2,7048.4,7217.4
2031.7,2206.5,2370.1,2514.3,2670.9,2797.6,3000.9,3127.4,3286.9,3402.6,3500.2,3571.8,3706.3,3848.6,3967.7,4059.9,4128.7,4270.3,4462.3,4587.6,4687.5,4778.6,4865.3,4976.1,5046.5,5179.5,5477.8,5650.3,5781.5,5987.3,6125.1,6330.5,6485.7,6664.4,6786.7,7001.4,7128.4,7295.3
