l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l
1109.5,1227.8,1400.1,1508.2,1682.4,1784.6,1931.8,2114.7,2278.9,2398.6,2506,2580.7,2696.7,2940.7,3093.4,3199.3,3354.7,3555.1,3737.2,3855.8,3966.2,4040.2,4158.1,4296.3,4416.7,4528,4603.7,4721.8,4985,5135.5,5236.9,5434.8,5538.5,5705.7,5896.3,6068.5,6188,6297.7,6373.8,6491.2,6662.4,6782.5,6896.6,6997.3,7082.4,7187.8,7262.8,7381.7,7720.1,7900.5,8005.9,8160.5,8263.4,8410.5,8605.3,8756,8875.1,8984.3,9060.2,9179.5,9349,9472,9586.2,9685.6,9771.8,9879.5,9954.4,10074,11047,11166,11323,11428,11641,11741,11910,12010,12157,12346,12528,12653,12762,12838,12956,13128,13251,13362,13441,13558,13779,13903,14015,14116,14200,14306,14381,14501,15171
1148.2,1284.6,1437.2,1567.2,1717.6,1849.9,2061.6,2188.9,2350.1,2468.3,2565.8,2633.7,2773.3,2997.5,3137.4,3260.4,3499.2,3628,3812.1,3927.5,4029,4094.5,4236.2,4368.4,4488.1,4589.7,4660.6,4797.1,5037.6,5178.2,5305.9,5476.7,5610.6,5843.1,5972.1,6142.6,6261.5,6361.5,6432.8,6571.8,6735.5,6857.5,6960,7051.1,7134.8,7250.5,7317.8,7459.9,7766.8,7944.9,8070.4,8207.1,8331.2,8551.6,8682.5,8833.3,8947.6,9047.6,9121.8,9258.3,9428.7,9550.8,9650.4,9744.2,9826.4,9942.3,10012,10152,11086,11217,11368,11491,11682,11802,11952,12078,12290,12420,12602,12728,12825,12894,13036,13207,13324,13425,13495,13635,13852,13976,14078,14172,14257,14368,14438,14577,15215
