l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,l,i,w,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b
1990.4,2245.3,2467.6,2606.3,2803.9,2910.3,3138.2,3244.3,3406.6,3510.3,3586.3,3703.3,3883.8,4004.3,4115.9,4192.7,4311.3,4487.3,4613.2,4724.7,4829.1,4915.7,5021.9,5097.7,5217.8,5373.2,5482.2,5655.8,5759.9,5836.5,5955.1,6172.1,6282.5,6426.9,6632.7,6879.2,7007.5,7110.8,7256.6,7451.1,7602.2,7726.9,7832.4,7909.2,8028.6,8212.1,8334.3,8445.3,8523.5,8646.6,8859.4,8961.3,9161.2,9264.5,9407.7,9609.1,9775.4,9896.3,10008,10083,10205,10378,10506,10617,10693,10813,11004,11122,11238,11341,11428,11539,11615,11740,12010,12148,12256,12450,12554,12696,12804,12954,13159,13331,13459,13573,13650,13770,13937,14064,14179,14284,14371,14480,14557,14680,14994,15196,15306,15500,15602,15753,15857,16002,16206,16362,16485,16599,16704,16792,16901,16978,17101,17449,17652,17759,17986,18089,18266,18373,18522,18727,18915,19040,19153,19236,19352,19602,19730,19842,19946,20035,20145,20223,20348,20560,20686,20801,20907,20996,21107,21185
2028,2295.6,2511.2,2663,2848.3,2974.2,3182.4,3312.8,3461.4,3572.2,3647.2,3782.4,3955.8,4075.3,4183.2,4258.9,4391.6,4560,4684,4791.5,4886.4,4975.3,5092.4,5160.5,5298.7,5422.6,5561.3,5714.8,5824.8,5899.3,6038.9,6221.7,6350.8,6580.7,6712.6,6941.4,7056.1,7182.8,7398.3,7535.7,7674.7,7798.2,7901.4,7972.4,8112.2,8287.3,8404.9,8513.8,8584.2,8727.5,8907.5,9034.9,9206.6,9338.4,9557.1,9690.1,9852.5,9969.1,10075,10145,10288,10455,10577,10684,10758,10895,11076,11198,11305,11399,11487,11606,11677,11821,12076,12197,12324,12499,12624,12747,12878,13104,13242,13408,13533,13643,13710,13854,14014,14140,14247,14343,14432,14547,14618,14762,15053,15247,15377,15551,15681,15805,15932,16154,16291,16440,16562,16666,16765,16853,16968,17036,17182,17505,17698,17834,18031,18160,18315,18447,18672,18811,18991,19113,19226,19292,19436,19675,19807,19910,20007,20098,20213,20286,20432,20639,20764,20870,20969,21059,21177,21250
