l,l,l,i,l,i,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,r
1765.8,1992.3,2311.6,2460,2680.1,2848.9,3062.6,3195.4,3333.3,3576.4,3745.7,3945.2,4061.4,4346.4,4453.3,4593.2,4780.4,4949.9,5070.1,5176.2,5250.5,5366.1,5558.9,5675,5786,5886.7,5971.8,6075.4,6149.3,6267.1,6509.4,6628.5,6736.5,6835,6919.3,7022.8,7215.6
1796.6,2028.6,2346.9,2496.2,2720.6,2897.9,3102.4,3239,3392.6,3616.9,3797.7,3984.4,4127.1,4384.2,4515.9,4728.8,4856.1,5022.3,5138.4,5239.2,5309.6,5445.7,5633.3,5747.4,5852.2,5943.5,6031.6,6141.9,6210.9,6345.6,6581.8,6700.1,6800.5,6890.7,6981.3,7087.6,7294.7
