l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r
1853.3,1980.3,2160.1,2322.7,2444.2,2707.4,2825.9,3022.5,3146.4,3300.6,3466.6,3642.1,3761.1,3869.6,3944.2,4065.4,4262.8,4384.6,4493.8,4596.5,4681.3,4788.5,4865.7,4982.5,5180,5284.8,5500.4,5604.6,5765.8,5959.2,6147.8,6272.6,6380.8,6461.4,6579.4,6843.1,6982.8,7088.7,7254.5,7438.5,7592.1,7714,7827.4,7929,8016.1,8085,8196.8,8554.5,8690.5,8796.5,8940.8,9130.5,9306.5,9426.4,9537.6,9641.3,9728.5,9834.8,9911.2,10033,10204,10312,10466,10569,10790,10894,11045,11236,11380,11502,11614,11718,11806,11915,11992,12111,12376,12511,12614,12770,12948,13115,13239,13351,13428,13546,13881,14010,14113,14265,14455,14637,14758,14868,14947,15064,15342,15491,15596,15741,15844,16081,16183,16346,16450,16529,16647,16812,16938,17049,17152,17239,17348,17426,17547,18169,18271,18478,18576,18795,18899,19066,19244,19435,19554,19664,19741,19861
1885.3,2013.1,2209.1,2360.9,2500,2742.9,2864.1,3058.3,3185,3401.6,3538.7,3709.4,3829.4,3930.8,3994.3,4140.6,4333.8,4454.7,4558.1,4650,4741.6,4852,4919.7,5059.1,5226.9,5360.7,5546.4,5669.8,5903.8,6037.6,6223,6346.6,6445,6505.1,6656.8,6894.4,7026.4,7148.6,7376.8,7514,7664.7,7786.2,7892.9,7986,8071.2,8184.8,8254,8607.7,8735.1,8861.4,9074.8,9206.2,9379.5,9499.9,9604.6,9698.2,9783.8,9900.5,9968.3,10112,10250,10372,10510,10636,10831,10961,11182,11315,11456,11578,11683,11776,11863,11979,12044,12190,12436,12555,12685,12896,13029,13190,13315,13419,13486,13628,13941,14057,14178,14403,14535,14711,14830,14932,14999,15148,15403,15539,15666,15782,15909,16121,16250,16399,16514,16583,16722,16886,17012,17116,17210,17297,17414,17484,17626,18207,18304,18511,18646,18840,18966,19189,19323,19511,19628,19730,19794,19944
