l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r
1280.4,1451.3,1642.1,1788.3,1983.1,2150.1,2382.8,2531.4,2721.7,2872.8,3124.1,3249.1,3402,3500.4,3575.4,3689.5,3909.3,4026,4133.4,4232.5,4316.6,4421.2,4496.5,4614.1,4874.9,5015.8,5120.8,5272,5471.7,5655.4,5780.9,5888,5987.9,6073.4,6178.3,6253.2,6373.6,6792.3,7006.7,7117.6,7284,7386.5,7460.7,7576.4
1314.9,1494.7,1676.5,1841.2,2019.9,2194.9,2422.2,2577.2,2759.8,2925,3163.8,3287.3,3450.1,3556.8,3627.8,3767,3977.9,4094.7,4194.3,4287.2,4371.4,4477.1,4549,4691.5,4927.4,5062.5,5191.8,5415.6,5549.2,5727.2,5852,5948.9,6043.4,6126.8,6233.8,6308.4,6450,6843.6,7045.6,7186.2,7342.1,7448.4,7517.6,7656.4
