i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r
1963.7,2136.7,2273.4,2448.5,2571.6,2764.4,2866.7,3046.8,3145.7,3218.5,3331.5,3492.2,3605.7,3708.9,3806.6,3889.3,3990.6,4065.1,4181.3,4374.2,4498.9,4604.1,4704.6,4788.1,4889.4,4963.9,5080.2,5454.7,5605.2,5706,5858,6030.4,6210.2,6333.1,6438.3,6514.6,6628.2
2007.8,2175,2322.2,2487.7,2629.6,2803.9,2931.8,3102.2,3203,3276.1,3401.7,3559.4,3673,3772,3863.2,3944.5,4050.4,4122.9,4256.8,4443.2,4568.4,4670.3,4760.2,4846.4,4952.9,5018.2,5156.6,5501.6,5645.8,5772.9,5977.1,6106.4,6280,6404.6,6501.7,6573.1,6709.6
