l,i,l,l,i,l,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1977.1,2247.4,2447.7,2572.9,2761.6,2962.9,3127.8,3275.8,3448.6,3621.4,3774,3970.4,4099.2,4344.9,4471,4626.7,4729.9,4803.8,4922.6,5110.4,5226.8,5335.8,5412.7,5529.4,5709.4,5832.6,5941.9,6042.9,6127.6,6234.5,6310.3,6427.5,6779.5,6948.2,7081.1,7204.3,7390.7,7573.3,7689.4,7799.4,7880.1,7993.7,8288.3,8444.2,8552.1,8705.3,8878.1,9050.5,9169.6,9280.4,9383.5,9470.9,9577.8,9653.8,9772.6,10541,10698,10806,10953,11144,11307,11430,11540,11642,11729,11836,11914,12032,12478,12626,12729,12944,13049,13211,13311,13462,13653,13851,13973,14085,14162,14276,14466,14586,14698,14774,14892,15093,15213,15326,15427,15513,15620,15696,15819
2009.7,2278,2483,2613,2808.5,2997,3166.6,3315.1,3495.2,3659.1,3828.7,4010.9,4143.9,4385.3,4516.8,4679.1,4792.3,4864.3,4997.3,5181.6,5296.7,5397.8,5468.5,5605.2,5781.7,5904.2,6005.1,6099.4,6187.7,6298,6367.3,6503.2,6830.8,6990.9,7120.5,7339.7,7466,7645.4,7760.2,7859.1,7934.1,8071.9,8339.1,8486.5,8624.2,8823.2,8953.8,9124.6,9244.6,9346.4,9442.2,9530.8,9641.3,9712.6,9850.1,10594,10741,10873,11086,11221,11380,11503,11606,11698,11788,11901,11975,12112,12530,12671,12798,12985,13123,13254,13381,13599,13730,13924,14047,14149,14218,14358,14540,14662,14765,14832,14972,15169,15291,15389,15484,15568,15687,15756,15900
