l,l,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1765.7,1988.4,2154,2390.6,2544.5,2726,2856.9,3011,3141.2,3344.1,3472.9,3654.5,3755.1,3829.7,3947.3,4101.8,4221.6,4329.2,4403.4,4522.2,4705.8,4829.6,4942,5042.1,5128.7,5243.8,5311.1,5430.7,5623,5743.8,5852.6,5954.8,6041.7,6147.2,6222.4,6352.7,6763.2,6914.2,7131.8,7271.2,7426.2,7533.2,7684.9,7871.2,8028.6,8160.8,8269.2,8344.7,8466.2,8651.6,8773,8884.8,8984.2,9071.9,9188.6,9260.2,9379,9643.8,9794.4,9904.7,10178,10305,10539,10653,10822,10931,11082,11263,11435,11553,11663,11739,11857,12080,12198,12310,12411,12497,12613,12683,12802,13230,13388,13495,13661,13763,13838,13959,14136,14259,14373,14474,14561,14665,14741,14863,15520,15644,15795,15931,16124,16229,16377,16563,16749,16866,16978,17060,17176,17471,17642,17751,18006,18122,18333,18455,18813,18926,19094,19202,19449,19554,19717,19829,19993,20098,20174,20296,20448,20572,20683,20786,20873,20979,21054,21175
1802.6,2030.8,2193.7,2431.4,2594.1,2767.1,2910.2,3058.7,3210,3391.8,3538.2,3709.7,3816.2,3891.3,4025.6,4175.8,4293,4393.4,4468.9,4601.7,4784.1,4903.9,5007.9,5100.5,5190.3,5294.4,5361.8,5510.8,5696.8,5815.9,5921.3,6012.8,6111.9,6213.6,6286.3,6428.7,6808.2,6966.3,7176.7,7336.9,7476.3,7606,7820.7,7952.3,8104.3,8233.3,8336.9,8405.2,8548.9,8725.2,8847.8,8950.8,9043.3,9133.5,9238.7,9305.2,9459.6,9704.9,9845.3,9980.1,10226,10379,10588,10732,10876,11002,11213,11343,11513,11627,11729,11801,11938,12153,12276,12377,12469,12564,12661,12730,12880,13292,13440,13571,13721,13831,13923,14038,14209,14338,14440,14534,14624,14734,14806,14944,15563,15705,15846,16000,16175,16311,16511,16645,16822,16943,17046,17121,17257,17532,17693,17835,18052,18199,18384,18530,18861,18995,19144,19279,19494,19634,19771,19906,20055,20162,20235,20379,20529,20648,20750,20844,20933,21047,21121,21252
