l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1996.3,2128.4,2305.1,2434.7,2700.3,2823.6,3020.5,3143.1,3296.5,3492.2,3657.3,3777.8,3887.6,3964.8,4086.5,4276.1,4404.2,4516.8,4618.2,4704.6,4810.6,4887.1,5011.6
2031.3,2185.6,2350.4,2490.6,2744.4,2893.9,3064.6,3220.2,3438.2,3569.3,3732.7,3851.2,3953.3,4028.9,4166.2,4353.3,4480.5,4581.9,4676.9,4767.6,4878,4950.3,5092.8
