l,l,i,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1421.9,1565.8,1977.7,2081.7,2160.2,2276.4,2592.6,2766.3,2881.3,3044.7,3144,3218.9,3336,3529.4,3648.2,3756,3858.8,3943.4,4049.3,4125.7,4243.4,4680.5,4785.3,5003.2,5107.6,5272.6,5373.8,5448.1,5568.2,5760.8,5885.1,5996.5,6096,6181.5,6289.6,6364.2,6482.4,6666.6,6792,6903.2,6978.6,7098.2,7458.2,7618.8,7724,7867.8,8060.4,8259.9,8378.5,8486.8,8567,8684.2,8867.9,8988.1,9097.4,9198.3,9285,9391.2,9471.6,9588.8,9921.3,10085,10189,10341,10530,10721,10841,10951,11052,11139,11246,11323,11447,11629,11751,11861,11963,12050,12157,12233,12352,13336,13456,13634,13738,13981,14096,14241,14427,14582,14703,14816,14895,15018,15208,15327,15438,15541,15626,15731,15808,15928
1455.8,1602.3,2025.5,2137.6,2207.3,2345.8,2643.5,2806.8,2938.8,3093.8,3203.8,3272,3412,3601.3,3720.2,3820.7,3913.3,3998.1,4110.6,4174.1,4318.3,4715.7,4847.6,5045.1,5172.6,5323.9,5436.3,5503.8,5646.3,5837.7,5958.4,6059.4,6152.8,6237.8,6351.1,6415.7,6557.2,6739.3,6864.9,6966.3,7036.6,7172.9,7511.9,7660.7,7793.9,8003.8,8137.1,8332.3,8449.9,8551,8624.5,8760,8941.1,9060.1,9161.9,9256,9339.3,9455.5,9525.2,9664.2,9974.6,10129,10252,10474,10608,10796,10911,11015,11109,11196,11310,11382,11526,11705,11827,11927,12023,12105,12222,12293,12430,13372,13509,13671,13802,14020,14154,14374,14504,14656,14777,14879,14948,15095,15282,15400,15500,15597,15683,15794,15863,16007
