i,l,i,l,i,l,i,l,i,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1986.9,2214.3,2383.9,2571,2696.5,2884.1,2996.8,3146.9,3259.3,3466.4,3571.6,3646.5,3765.5,4054.2,4200.5,4306.4,4453.5,4561.8,4705.3,4900.2,5098.4,5217,5324.9,5400.5,5518.4,5685.5,5811.8,5922.6,6025.6,6111.9,6217.6,6293.4,6413.4,6744.2,6938.4,7044.7,7214.9,7322.8,7463.9,7665.2,7833.8,7953.4,8065.4,8169.3,8254.6,8361.7,8439.3,8559.2,8854.3,8983.8,9089.9,9237.8,9435.7,9598,9717.5,9829.8,9912.2,10026,10240,10360,10472,10576,10661,10768,10844,10965
2043.6,2262.3,2449.5,2622.2,2768.4,2934.8,3071.5,3202.3,3329.6,3527.9,3636.4,3709,3843.2,4118.5,4249.7,4384.8,4506.3,4646.2,4845.1,4982.3,5171,5287.7,5393.4,5463.2,5602.2,5763.2,5886.2,5991.1,6082.4,6171.8,6286.1,6359.2,6493.7,6810.5,6988.5,7121.8,7269.3,7405.4,7615.4,7746.2,7906.8,8029,8134,8228.6,8317.8,8433.9,8498.4,8641.7,8923.1,9036.2,9172,9381.2,9517.7,9674.6,9792.8,9899.9,9965.9,10110,10313,10433,10541,10634,10731,10837,10911,11049
