l,i,l,i,l,i,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l
1069.4,1226,1407,1519,1720.3,1827.2,1980.6,2080.7,2153.9,2271.5,2505.2,2691.2,2812.4,3049.1,3156.5,3304.7,3488.3,3693,3821.6,3927.7,4003.8,4120.2,4479.9,4655.4,4763.4,4909.5,5100.6,5394.5,5569.5,5696.8,5826.1,6016.4,6222.2,6344.9,6456.2,6556.2,6640.8,6743.3,6818.2,6939.2,7111.6,7234.7,7347.6,7449.2,7536.2,7640.1,7713.8,7839.5,8516.6,8634.3,8820
1106.7,1278.1,1447.2,1580.4,1758,1891.4,2034.7,2137.8,2207.6,2351.3,2565.6,2733.4,2880.8,3093,3227.1,3439,3563.7,3762.7,3890.7,3989.2,4058.6,4195.7,4535.9,4695.5,4836.1,5046.7,5178.8,5447.9,5610.6,5748.6,5960.1,6089,6293.8,6416.6,6518.8,6611.2,6698.6,6806.1,6876.3,7019.3,7187.1,7307.8,7413.4,7507.3,7593.6,7704.4,7776.2,7914.4,8551.8,8688.9,8862
