l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l
1099.9,1516,1821.6,1988.5,2116.6,2374.2,2491.2,2694.8,2800.3,3000.4,3104.8,3274.3,3380,3455.8,3572.6,3744.9,3867.7,3977.4,4080.2,4166.7,4276.2,4351,4471.6,4666.7,4792.1,4904.6,5006,5093,5198.9,5276.5,5396.6,5632.7,5737.3,5969.6,6098.1,6246.6,6354.2,6517.8,6619.2,6693.8,6811.8,6976.9,7099.2,7212.3,7315.5,7403.8,7513,7589.4,7709.4,8261,8390,8494.2,8667.6,8771.9,8964.8,9070.7,9295.7,9405.1,9556.2,9745.6,9953.9,10073,10185,10262,10384,10564,10693,10805,10907,10995,11102,11181,11303,11946,12092,12203,12505,12737,12963,13130,13234,13388,13594,13792,13917,14032,14136,14224,14333,14407,14529,15628
1135.4,1551.1,1855.7,2026.8,2171.1,2414.3,2550,2735.2,2870.6,3046.1,3174.3,3330.6,3442,3516,3653,3816.2,3940.7,4045.8,4137.5,4231,4343.3,4415.7,4551.6,4739.3,4863.8,4969.3,5064.7,5154.1,5264,5338.6,5474.6,5676.7,5814.9,6013.5,6164,6293.8,6431.7,6576.7,6688.3,6754.6,6895.2,7051.2,7174.9,7279.9,7376.7,7466.2,7580.3,7652.4,7791.8,8326.4,8437.6,8570.2,8717.4,8850.8,9012.2,9142.6,9343.1,9480.5,9692.2,9826.2,10027,10146,10252,10324,10462,10637,10765,10872,10967,11056,11169,11242,11385,12006,12139,12280,12550,12787,13026,13177,13313,13537,13673,13864,13991,14100,14193,14286,14401,14467,14611,15660
