l,l,l,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1985.6,2181.4,2351.8,2503,2921,3070.8,3266.9,3411.2,3623.5,3746.9,3965.2,4099.1,4228.7,4328.8,4404.6,4523.3,4705.7,4828,4936.4,5037,5124.3,5230.2,5305.4,5421,5633.5,5757.7,5868.1,5967.7,6055.1,6160.1,6236.2,6356.7,7294.5,7459.7,7648,7758.1,7919.4,8019.6,8095.6,8213,8412.5,8536.8,8646.2,8746,8833.4,8939.8,9016.2,9133.4
2023.6,2215.2,2395.5,2543.7,2964.2,3119,3303.9,3462,3661.8,3803.8,4006.8,4138.1,4284.1,4388.1,4460.6,4596.5,4779.3,4897.8,4997.1,5092.4,5183.3,5290,5365.3,5503,5705.6,5830,5930.3,6025.1,6113.7,6225.3,6292.7,6436.8,7332.2,7515.3,7693.1,7830.1,7978.8,8085.1,8154.9,8289.7,8485.3,8607.2,8710.8,8803.2,8892.2,9004.1,9079.8,9211.9
