l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,i,w,r,i,l,i,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,w,r,n,n,a,b,r,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r
1482.8,1609.5,1761.7,1982.7,2104.5,2239.8,2359.6,2642.3,2764.9,2911.2,3011,3085.1,3203.6,3422.4,3545.7,3652.5,4266.7,4404.6,4595.6,4961,5151.5,5576.6,5728.6,5852.6,5959.9,6063,6148.8,6251,6327.6,6448.9,6601.5,6721.7,6834.1,6937.9,7023.6,7130.9,7209.8,7329.6,7555.2,7711.1,7967.7,8147,8282.7,8399.6,8509.2,8590,8706.8,8852.3,8971.4,9073.8,9160.5,9266.7,9345.9,9467.2,9769.2,9926.1,10030,10181,10375,10539,10656,10768,10844,10963,11109,11233,11346,11451,11539,11646,11725,11843,11986,12110,12219,12325,12414,12523,12599,12721,13004,13168,13273,13487,13597,13740,13846,14087,14194,14349,14539,14724,14844,14959,15035,15156
1522.7,1649.2,1798.3,2017.1,2161.2,2280.2,2414.6,2681.5,2804.2,2958,3072.6,3139.8,3280,3491.2,3635.8,3719.4,4333.4,4543.8,4672.7,5024.7,5194.2,5656.9,5800.2,5919.4,6023.6,6115.5,6201.8,6312.7,6378.6,6525.9,6676.5,6793.7,6896.2,6993.1,7079,7192.8,7258.3,7402.8,7601.9,7746,8084.6,8220.2,8354.9,8470.8,8575.3,8636.6,8785.8,8926.2,9035.9,9130.6,9215.8,9332,9404.3,9548.4,9820.9,9969.9,10109,10318,10452,10612,10731,10831,10898,11042,11183,11307,11411,11506,11594,11710,11778,11924,12063,12183,12284,12383,12474,12586,12653,12802,13053,13213,13344,13530,13663,13788,13917,14129,14258,14482,14617,14800,14922,15026,15093,15238
