l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r
1794.5,2164.4,2287.3,2512.2,2613.6,2816.1,2934.7,3162.3,3265.7,3475.1,3579.4,3732.9,3836,3911.1,4027.5,4185.3,4304.2,4413.4,4514.3,4602.1,4709.7,4784.8,4902.9,5231.8,5365.8,5465.3,5640.7,5740.4,5817.8,5936.2,6309.1,6467.3,6571.8,6758.6,6857.1,7017.5,7118.3,7194.3,7310,7464.6,7589.6,7700.3,7804,7889.5,7997.7,8073.5,8195.9,8696.3,8844,8946.3,9098.9,9280.6,9449.3,9568.3,9676.4,9754.1,9873.9
1826.5,2200.5,2340.1,2549.7,2678.3,2852.8,2997,3203.2,3335.7,3520.4,3647.8,3787,3897.9,3971.2,4104.3,4259.6,4375.9,4478.4,4572.8,4659.2,4770.9,4834.8,4979.5,5262.9,5403.5,5543.8,5699.2,5805.3,5878.1,6013.5,6357.9,6505.1,6640.4,6794.9,6923.9,7074.5,7184.1,7252,7391.7,7538.4,7662.7,7766.6,7862.3,7943.8,8063.2,8137.7,8272.8,8751,8883.1,9011.7,9224.4,9359.2,9523.4,9640.1,9740.8,9808.6,9951.4
