l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,w,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1020,1147.8,1341.6,1478.2,1676.2,1806.5,1941.4,2109.8,2299.3,2415.6,2522.7,2623.8,2708.9,2814.1,2888.7,3006.2,3530.1,3642.9,3816.4,3928.3,4091.8,4199.3,4355.6,4546.8,4745.8,5016.6,5166.5,5265.6,5417.6,5598.2,5792.8,5910.6,6019.9,6096.2,6211.7,6395.9,6516,6625.9,6727.6,6812.7,6917.7,6995.8,7114,7896.8,8019.2,8170.3,8278.3,8432.8,8572.6,8813.8,8919.9,9269.6,9413.2,9518.7,9665,9858.8,10026,10141,10250,10354,10439,10545,10620,10740
1053.9,1186.5,1378.1,1532,1707.7,1845.1,2054.1,2182.6,2369.6,2484.6,2587.4,2678.8,2761.7,2873.4,2945.4,3083.7,3571.7,3711.6,3864.1,3994.5,4137.4,4274.4,4492.9,4625,4838.7,5073.2,5209.8,5339.8,5544.2,5673.4,5863.4,5983.3,6083.3,6154.5,6290.7,6469.5,6589.7,6691.6,6784.3,6873.4,6985.1,7054,7193.1,7942.2,8078.4,8216.8,8356.5,8483.2,8643.7,8895.2,8967.9,9331.7,9468,9604.6,9808,9942.7,10101,10217,10318,10413,10509,10612,10681,10822
