l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1679.6,1827.8,1986.7,2095.7,2257.5,2439.1,2617,2735.8,2842.2,2916.5,3031.9,3214.4,3349.2,3456.1,3554.9,3639.1,3742.1,3817.8,3936.3,4118,4236.6,4344.2,4444.2,4527.5,4631.4,4708.1,4830.6
1712.9,1873.2,2028.7,2154.2,2388.8,2512.9,2688.3,2806.6,2906.1,2973.9,3109.4,3285.5,3417.9,3518.6,3611,3699.2,3804.3,3879.5,4011.2,4188.8,4307.9,4407.8,4500.1,4582.5,4692,4766.7,4907.7
