l,l,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,l,i
1975.6,2202.5,2358.2,2618.9,2768.7,2889.9,3066.7,3170.4,3347.4,3491.5,3657.7,3761.2,3877.9,3950.5,4066.4,4210.5,4330.8,5223.4,5356.9
2014.6,2235.6,2398,2661.8,2805.5,2950.6,3105.5,3229.8,3438.5,3562.6,3727.2,3839.8,3938.8,4005.6,4142.5,4280.6,4402.6,5260.4,5395.8
