l,i,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r
1989.2,2172.8,2353.3,2485.4,2813.9,2994.3,3174.5,3381.2,3567.5,3743.8,3878,4050,4169.6,4340.6,4442.6,4519.3,4635.5,4811.8,4935.4,5044.8,5119.8,5236.7,5430.6,5549.8,5659.1,5760.5,5847.5,5953.7,6030.1,6148.1,6514.3,6669.9,6790.7,6957.8,7137.9,7311.2,7431.2,7538.6,7614.5,7732.4,8134.3,8283.8,8394.3,8550.9,8733.9,8924.8,9048.5,9155.3,9231.5,9350.7,9530.7,9649.1,9758.8,9860.2,9948.2,10055,10130,10250,10446,10554,10710,10810,10887,11005
2030.4,2222.1,2391.7,2528.1,2861.4,3031.8,3226.7,3420.7,3619.2,3785.1,3941.8,4090,4230.9,4396.5,4502.1,4574.6,4716,4887.2,5007.8,5110.1,5176.6,5316.7,5502.2,5621.1,5724,5819.5,5909.2,6017.4,6085.9,6224.4,6561.4,6714.1,6854.6,7084.5,7213.7,7383.4,7501.2,7603.4,7676.3,7809.6,8192.2,8328.8,8466.3,8681.6,8810,8997.9,9120.6,9221.7,9291.2,9431,9605.2,9723,9824.7,9918.9,10010,10116,10188,10328,10489,10620,10767,10876,10944,11086
