i,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
2194.8,2375,2498.1,2659.7,2855.8,2994.3,3126.1,3298,3528.7,3684.9,3907.5,4025.1,4291.1,4398.5,4605.1,4717.4,4873.8,5049.2,5214,5330.3,5435.7,5509.8,5623.2,5786.5,5909.4,6014.4,6112.8,6197.5,6301.2,6374.9,6496.5,6714,6829.7,6939.8,7040.6,7128.3,7230.3,7306.3,7421.4,7730.2,7910.6,8013.1,8168,8346.7,8520.1,8636.2,8746.8,8822.1,8936.9,9151.5,9272.1,9379.8,9480,9563.6,9669.2,9742.8,9862.2,10149,10301,10404,10550,10732,10906,11027,11138,11213,11334,11524,11642,11750,11849,11938,12043,12118,12242
2238.4,2413.4,2535.9,2707.1,2893.2,3047,3167.3,3352.9,3566.3,3739.5,3947,4089.4,4331.1,4461.1,4645.9,4783.4,4994.4,5127.2,5286.6,5399.3,5496.1,5568.2,5700.7,5856.8,5978.5,6080.1,6168.9,6256,6360.8,6431.1,6573.3,6786.7,6900.5,7004.7,7097.5,7180.7,7293.6,7360.9,7496.8,7779.1,7953.2,8078,8295.5,8424.1,8591.7,8705.5,8809.9,8879.1,9014,9224.4,9343,9445.7,9536.2,9617.1,9731,9803.7,9941.4,10197,10344,10478,10681,10811,10977,11098,11199,11273,11412,11594,11713,11814,11908,11997,12106,12178,12319
