i,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l
1973.1,2257.8,2426.4,2893.2,3088.2,3211.2,3459.1,3572.2,3859,3964,4123.4,4223.8,4302.9,4420.8,4618.8,4740.1,4848.4,4925.4,5044.9,5227,5346.1,5454.5,5534.9,5649.3,5857.8,5982.7,6092.3,6193.9,6280.5,6389.1,6465.8,6588.1,6786.9,6915.2,7025.6,7130.2,7218.7,7325.7,7404.4,7525.8,7861.5,8024.4,8130.9,8320.1,8483.8,8683.4,8815.2,8926.8,9032.8,9119.8,9226.4,9306.4,9429,9727.6,9875.3,9983.9,10140,10337,10517,10650,10762,10868,10955,11064,11143,11267,11453,11579,11691,11796,11886,11994,12074,12196,12412,12540,12653,12760,12850,12960,13040,13168,13461,13564,13756,13860,13938,14062,14294,14447,14558,14664,14753,14864,14943,15065,15573,15756,15870,16030,16166,16361,16480,16694,16807,16965,17071,17150,17274,17484,17623,17733,17840,17929,18039,18123,18246,19160
2021.3,2299.7,2469.5,2946.7,3128.7,3273.6,3497.3,3636.8,3899.6,4034.6,4178.4,4287.8,4359.2,4494.6,4689.6,4808.4,4910.5,4985,5124.6,5300.4,5419.8,5519.6,5596.7,5725.1,5931.7,6052.5,6154.8,6252.5,6339.4,6454.6,6527.8,6666.7,6858.3,6987,7091.7,7186.1,7277.2,7393.7,7465.9,7600.5,7917.3,8066.5,8195.2,8431.1,8563.3,8756.8,8886.8,8994.8,9090.7,9180.8,9291.5,9366.2,9509.2,9782.7,9919,10057,10282,10417,10594,10724,10829,10926,11012,11129,11201,11344,11527,11652,11759,11854,11948,12062,12131,12277,12486,12613,12720,12818,12911,13028,13096,13248,13503,13634,13815,13926,13997,14141,14366,14524,14624,14723,14818,14933,15002,15146,15626,15800,15948,16077,16206,16403,16552,16735,16877,17025,17139,17209,17354,17559,17695,17804,17899,17991,18104,18177,18328,19198
