l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1988.3,2271.1,2479.1,2662.4,2828.6,3025.9,3162.8,3374,3495,3702.5,3810.3,4008.2,4141.1,4360.2,4494.5,4692.6,4879.6,5800.2,5946.8,6115.6,6316.9,7348.4,7493.6,7672.2,7786.6,8005.1,8147.2,8279.3,8383.8,8567.8,8748.2,8909.4,9028.2,9134.5,9205.9,9322.2,9507.2,9619.7,9726.9,9825.9,9909.7,10011,10086,10204
2027.6,2313.8,2520.8,2701,2882.1,3070.7,3219.1,3419.5,3560.8,3749.9,3880.4,4054.7,4204.8,4404.4,4558.9,4740.5,4937.4,5841.2,6005.9,6163.8,6377.8,7389.3,7548.8,7715.9,7850.8,8048.3,8209.7,8326.9,8462.9,8700.8,8827.2,8984.3,9098.4,9197,9264.3,9403.8,9578,9691.2,9791.1,9881.6,9968.8,10077,10149,10283
