l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,b,r,i,l,i,f,a,b,r,l,i,l,i
1994.4,2162.7,2339.4,2454,2689.2,2800.9,2980.2,3083.1,3239.7,3427,3615.4,3736.2,3845.1,3921.9,4040.9,4226.6,4354.3,4465.6,4565.8,4652.7,4761.2,4836.5,4957.2,5206.1,5314.1,5511.8,5616.9,5769.1,5962.3,6161.9,6284.6,6395,6469.9,6590.5,6841,6978.1,7081.1,7244.2,7444.9,7637.1,7758.7,7871.5,7975.9,8062.9,8174.3,8250.5,8372.2,8669.6,8808.1,8913.7,9071.7,9269.2,9462,9588,9700.1,9776.5,9893.8,10033,10154,10269,10369,10459,10566,10641,10763,11072,11216,11320,11489,11668,11848,11976,12088,12165,12283,12632,12799,12904,13094,13198,13275,13393,13592,13725,13838,13917,14038,14208,14332,14445,14524,14643,15039,15191,15297,15461,15565,15643,15762,16052,16158,16310,16422
2035.8,2210.5,2382.2,2514.5,2733.8,2864.3,3025.4,3145.2,3371.1,3507.5,3690,3806.9,3907.7,3980.6,4119.3,4299.8,4429.5,4531.4,4624.1,4713.7,4828,4899.8,5038.4,5253.8,5391.6,5560.1,5688.9,5913,6043.1,6238.7,6358.9,6462.8,6526.2,6672.1,6901.2,7024.2,7155.9,7390.2,7524.2,7712.8,7834.8,7939.3,8034,8123.8,8239.6,8310.6,8454.8,8726.2,8858.2,8983.6,9210.9,9350.6,9534,9660.8,9765.3,9837.7,9975.5,10109,10231,10334,10430,10520,10634,10700,10843,11126,11264,11391,11615,11749,11923,12052,12155,12225,12366,12690,12844,12976,13152,13262,13336,13475,13667,13801,13908,13976,14123,14284,14408,14512,14578,14725,15088,15237,15360,15518,15630,15699,15844,16096,16223,16358,16491
