i,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1979.8,2333.2,2459.6,2612.2,2821.5,2992.9,3182.1,3331,3585.7,3741.3,3938.5,4072.5,4231.2,4330.4,4404.3,4516.4,4703.2,4829.2,4939.7,5037.8,5126.1,5232,5309.2,5424.8
2023,2370.3,2499.1,2660.5,2859.3,3047.8,3222.4,3390.4,3627.8,3800.5,3981.7,4138.6,4289.9,4399,4461.2,4596.9,4775.7,4901.1,5004.2,5095.5,5183.4,5285.3,5355.3,5502.8
