l,i,l,i,l,i,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1555.2,1790.7,1981.2,2128,2328,2451.6,2681.2,2826.6,3078.8,3248.9,3365.5,3580.4,3687.9,3884.6,4002.6,4162.4,4261.9,4338.9,4454.5,4644.8,4764.7,4874.3,4973.9,5058.6,5164.1,5241.1,5359.7,5564.6,5683.1,5793.6,5895.5,5980.6,6088.9,6163.2,6282.1,6586.6,6728.3,6831.9,6993.1,7096,7171.7,7290.1,7479.5,7598.6,7707.8,7804.1,7918.4,8221.9,8384.5,8492.9,8642.6,8827.1,9015.5,9135,9245.6,9324.4,9438.3,9615.1,9722.2,9925.8,10027,10103,10221,10536,10689,10796,10946,11136,11280,11410,11520,11621,11708,11814,11891,12013,12325,12504,12616,12771,12966,13134,13257,13367,13451,13569,13926,14082,14188,14334,14535,14719,14839,14950,15051,15138,15246,15323,15445
1596.3,1824.4,2018.6,2171.4,2367.7,2508.7,2722.3,2867.2,3131.4,3288.4,3426.5,3621.6,3756.6,3926.8,4065.4,4217.7,4321.4,4392.8,4532.6,4713.5,4835,4935.4,5031.6,5112.2,5225,5300.1,5434.1,5635.2,5754.3,5858.6,5951.3,6035,6147.4,6218.2,6360.6,6647.2,6775,6897.8,7046.1,7155.7,7229,7369.7,7551.6,7671.3,7775.1,7852.8,7995.4,8279.5,8426.5,8557.2,8770.8,8906.6,9089.3,9207.1,9310.5,9379.4,9518,9658.4,9789.3,9979.2,10092,10161,10301,10594,10729,10864,11081,11217,11355,11482,11586,11677,11764,11880,11950,12092,12375,12550,12692,12910,13045,13207,13329,13434,13510,13649,13978,14127,14257,14476,14614,14792,14913,15017,15110,15195,15310,15383,15523
