l,i,l,i,l,i,l,i,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,l,l,l,l,l,i,l,i,l,i,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1537.6,1834.4,1973.4,2106.3,2258.9,2383.5,2589.6,2716.8,2869.3,2987.2,3091.6,3190.7,3273.8,3378.2,3451.6,3567.4,3826.6,3996.2,4101,4245.4,4425.7,4604.7,4718.8,4824.7,4902.1,5013.2,5456.7,5629.3,5776.2,5917.6,6123.1,6355.3,6413.1,6715.5,6923.2,7046,7184.5,7277.9,7581.7,7714.8,7887,8028,8143.4,8250.7,8323.2,8440.4,8571.8,8684,8791.4,8890.6,8976.4,9080.1,9158.5,9276.1,9474.1,9574.8,9753.6,9853.8,10023,10185,10318,10431,10508,10623,10772,10890,11000,11099,11185,11289,11365,11483,11697,11801,11951,12055,12213,12314,12476,12573,12653,12766,12905,13022,13130,13232,13315,13420,13496,13619,13802,13922,14033,14135,14218,14324,14400,14516
1572.6,1874,2013.8,2143.2,2294.1,2415.3,2628.3,2754.3,2938.5,3054.9,3155.2,3244.9,3329,3439,3506.2,3643.2,3886.9,4039.8,4172.1,4373.3,4504.4,4675.3,4791.2,4887.7,4951.7,5093.3,5510.7,5669.7,5813.9,5960.3,6162.5,6385.5,6461.5,6760.6,6955.5,7084.8,7216,7341.2,7622.5,7836.1,7961,8095.9,8212.1,8310.3,8373.5,8517.6,8643.2,8752.2,8854.6,8947.4,9030.4,9141.4,9209.8,9351.3,9511,9636,9790.4,9915.1,10123,10260,10389,10490,10558,10697,10847,10965,11064,11156,11243,11352,11416,11559,11742,11873,11997,12117,12248,12376,12529,12634,12700,12843,12977,13094,13192,13288,13376,13485,13551,13696,13877,13996,14095,14188,14276,14387,14457,14594
