l,l,l,i,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,l,i,l,i,l,i,f,a,b,r,n,a,b,r,l,i,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1790.7,1968.8,2355.5,2519.9,2724,2877.1,3046.6,3242.3,3365.8,3564.9,3706.7,3959.2,4118.5,4288.2,4416.5,4603.2,4714.4,4862.4,5044.5,5239.7,5357.8,5468.4,5542.8,5661.7,5849.3,5967.2,6080.1,6184.2,6271.5,6377.9,6453.6,6573.7,6794.3,6898.8,7078.9,7177.2,7256.5,7371,7550.8,7674.1,7780,7886.1,7971.2,8078.8,8154.8,8279.3,8561.3,8734.9,8843.4,8995.3,9178.9,9358.3,9481.9,9592.8,9669.2,9787.2,9958.5,10079,10191,10292,10378,10485,10561,10683,11000,11158,11262,11424,11528,11605,11725,11922,12040,12152,12231,12350,12947,13056,13245,13349,13529,13634,13798,13898,13976,14095,14243,14356,14432,14552,14761,14868,15060,15166,15243,15364,16014,16121,16297,16404,16673,16788,16948,17061,17213,17401,17583,17704,17818,17923,18009,18114,18193,18314
1830.3,2006,2390.3,2568.8,2761.6,2916,3093.7,3285.4,3422.7,3603,3767.9,4000.3,4172.3,4325.4,4457.2,4643.8,4779.2,4990.5,5118.8,5315.2,5429.1,5528.9,5600,5737.9,5923.5,6039.4,6143.9,6240.9,6325.5,6441.8,6511.7,6650.8,6835.8,6967.5,7133.8,7238.2,7311.2,7449.1,7625.2,7743.6,7846.3,7938.2,8025.2,8142.6,8215,8355.8,8615.9,8779.7,8914.7,9130.5,9257.7,9433.4,9554.7,9659.2,9727.8,9865.2,10035,10152,10253,10349,10434,10549,10622,10761,11051,11203,11331,11478,11591,11663,11806,11997,12112,12219,12289,12431,12986,13117,13288,13423,13576,13700,13855,13963,14035,14175,14318,14419,14488,14631,14804,14938,15115,15231,15304,15441,16053,16184,16341,16473,16713,16851,16996,17128,17346,17479,17658,17778,17882,17979,18064,18177,18249,18394
