l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1709.6,1840.8,1988.2,2092.8,2247.9,2425.9,2582,2703,2813.4,2915,3000.6,3108.3,3183,3301.7,3630.4,3786.6,3889.2,4051.1,4230.4,4418.9,4551.4,4660.7,4761.8,4849.1,4955.1,5031.5,5149.2,5637.8,5795.5,5899.4,6058.1,6246.8,6440.2,6563.9,6673.8,6774.6,6862,6969.8,7045.4,7163.9
1743.1,1888.7,2033.8,2158.4,2370.6,2505.2,2657.4,2775.2,2877.5,2972.6,3060.7,3172,3240.8,3378.6,3681.1,3830.2,3960.1,4177.5,4308,4493.2,4624.5,4725.9,4819,4908.9,5016.5,5088.9,5230.2,5685.7,5838.4,5969.4,6194.1,6321.7,6514,6636.3,6732.6,6831.2,6916.5,7033.6,7097.9,7239.9
