l,i,l,i,l,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b
1204,1610.4,1833.8,1972.7,2168.5,2427.2,2540.9,2622.5,2741.3,2910.2,3033.6,3146.3,3250.1,3338.3,3447.7,3527.3,3647.6,3918.9,4110.9,4241.7,4387.1,4489.9,4686.2,4848.7,5031.8,5159.7,5274.8,5353.1,5479,5875,6009.6,6386.4,6497,6665.4,6807.8,6947.8,7050.9,7129.5,7252.1,7424.4,7549.8,7662.8,7744.6,7861.3,8047.1,8171.5,8283.3,8387.6,8477.5,8586.7,8666,8791.4,9080.5,9221.6,9326.8,9498.6,9666.9,9880.7,10005,10118,10221,10313,10421,10501,10624,10944,11113,11218,11383,11488,11568,11690,11880,12007,12121,12201,12322,12537,12664,12780,12884,12974,13086,13166,13292,13632,13808,13942,14129,14231,14416,14516,14672,14876,15039,15167,15279,15361,15480,15636,15759,15874,15980,16071,16186,16266,16397,16946,17152,17292,17524,17722,17982,18161,18272,18480,18587,18668,18787,19042,19173,19288,19395,19485,19602,19668
1238.7,1658.6,1870.8,2010.7,2203.4,2496.3,2600.6,2674.7,2817,2982.6,3106.3,3208.2,3306.2,3393.8,3508.2,3580.8,3722.7,3972.9,4148.5,4278.4,4428,4555.5,4785.5,4926,5106,5234.2,5341,5409.6,5559.4,5924.5,6048.6,6424.8,6561.3,6707.5,6850.1,7004.6,7112.4,7183.6,7328.6,7499,7622.8,7728,7799,7942.3,8121,8242.8,8350.6,8446.8,8534.1,8650.9,8720.7,8868.7,9129.1,9261.7,9388.7,9607.8,9742.3,9953.9,10078,10183,10278,10373,10484,10557,10704,10998,11156,11282,11438,11554,11625,11769,11952,12082,12186,12263,12404,12611,12741,12846,12943,13030,13145,13216,13366,13682,13850,13984,14163,14303,14452,14553,14812,14955,15114,15240,15345,15411,15562,15714,15832,15941,16038,16129,16252,16323,16477,16991,17196,17328,17563,17768,18033,18205,18338,18533,18650,18722,18867,19116,19245,19352,19451,19541,19649,19736
