i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r
1039.9,1231.4,1342.3,1538.5,1640.2,1795.2,1977.4,2113.5,2233.1,2340.6,2414.8,2531.1,2679.3,2798.9,2906.7,3004.4,3089,3192.9,3267.9,3385.1,3552.7,3678.2,3789.8,3889.5,3975.6,4080.2,4154.3,4270.1,4914.7,5056,5164.2,5329.3,5430.5,5503.8,5622.4
1085.5,1264.3,1397.3,1574.8,1696.1,1925,2048,2185.5,2304.2,2401,2468.4,2610.4,2750.7,2867.8,2965.3,3059.5,3141,3253.1,3321.4,3461,3625.8,3748.1,3851.7,3944.2,4028.7,4141.7,4206,4346,4965.5,5097.2,5231.1,5385.4,5490.3,5557.4,5698.3
