l,l,l,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,n,a,b,r
1996,2158,2329.5,2545.4,2693.5,2876.6,2998.5,3189.2,3298.1,3454.7,3643.8,3814.8,3930.2,4038.9,4115.3,4229.7,4382,4500.7,4610.4,4710.3,4793.3,4898.1,4974.2,5091.5,5283,5406.3,5516.4,5618.1,5704.2,5808.7,5883.7,6002.8,6270.8,6417.5,6523.2,6665.2,6853.1,7021,7142.6,7250.4,7353.5,7438.3,7544.8,7622.2,7737,8049,8202.4,8311.9,8492,8602.8,8824.7,8938.2,9139,9247.9,9408.4,9511,9587.9,9704.2,9844,9965.5,10078,10180,10267,10374,10450,10573
2044.4,2209.8,2362.9,2589,2753.8,2926,3066.2,3238.6,3370.8,3595.2,3723.3,3889,4003.5,4095.4,4168.5,4309.1,4459.5,4573.8,4678.2,4768.3,4856.5,4958.9,5030.2,5169.1,5357.3,5478.4,5584.8,5675.5,5775.5,5877.1,5948.2,6084.4,6330.7,6469.4,6606.3,6801.6,6933.8,7096.2,7216,7320.7,7412.7,7499.7,7606.5,7675.7,7816.6,8115.8,8256,8394.1,8543.7,8677.2,8873.2,9017.2,9190,9325.8,9470.8,9572.3,9639.4,9789.9,9920.2,10039,10146,10239,10329,10434,10504,10652
