i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f
1164.5,1333.1,1481.2,1670.2,1795.2,1922.1,2110.8,2273.2,2396,2504.9,2580.9,2696.3,2961.4,3138.3,3242.7,3402.6,3591.6,3741.7,3864.2,3974.2,4077.6,4168.9
1214.9,1373.9,1531.1,1710.4,1840.7,2054,2184.6,2349.8,2465.8,2563.2,2636.4,2775.5,3011.9,3178.7,3313.4,3538.2,3669.2,3816,3934.7,4035.3,4133.4,4221.4
