i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1125.7,1291.7,1393.7,1546.8,1644.5,1813.6,1977.5,2130.6,2247.3,2356.1,2435.6,2555.5,2693.2,2816.8,2923.2,3027.2,3113.8,3220.2,3297.7,3418.3,3664.6,3811.1,3936.4,4072.6,4251.9,4405.5,4529.2,4639.2,4736.3,4847.4,5091.4,5230.5,5335.8,5488.6,5671.3,5821.7,5939.5,6052.2,6128.9,6247.4,6394.3,6515.9,6628.8,6728.4,6814.6,6921.2,6997.7,7118.8,7291.6,7414.6,7527.3,7632.1,7720.1,7829.8,7909.3,8029.9,8272.2,8374,8572.2,8674.6,8860,8963.8,9127,9228.3,9307.5,9425.6,9602.2,9724.3,9837,9940.9,10030,10137,10216,10338,10704,10842,10948,11110,11213,11291,11412,11565,11694,11807,11910,11998,12107,12185,12308
1176.4,1326.4,1462.3,1579.3,1714,1921,2050.5,2202.4,2317.6,2416.3,2477.2,2626.9,2765.8,2884.2,2984.9,3080.4,3167.9,3282,3350.5,3493.8,3712,3853.4,3978.2,4194.5,4331.4,4478.3,4604.6,4704.3,4781.5,4925.7,5146.5,5269.7,5411.7,5619.1,5754.2,5895.2,6014.3,6117.8,6184.1,6327.8,6469.3,6589.9,6694.1,6786.4,6875,6984.9,7054.4,7199.2,7365.7,7491.8,7595.1,7691.6,7778,7895.1,7966,8107.6,8317,8441.1,8618.5,8754.9,8907.5,9035.4,9186.2,9296.2,9366.1,9508.5,9678.4,9798.7,9905.1,9999,10090,10206,10275,10420,10760,10889,11019,11170,11279,11353,11493,11639,11769,11873,11971,12059,12172,12247,12392
