l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r
1011.1,1159.7,1332.2,1452.1,1685.8,1806.5,1962.8,2066.5,2141.7,2261.4,2444.7,2560.5,2669.1,2746,2861,3024.8,3152.2,3266.4,3364.7,3449.4,3556.3,3630.9,3748.5,3995.2,4166.6,4269.1,4434.8,4607.8,4788.4,4911,5018.5,5120.4,5207.2,5312.8,5387.5,5509.6,5827,5963.4,6069.8,6231.4,6422.6,6590.3,6710.4,6821.3,6920.7,7007.8,7113.7,7189.1,7310.2,7537.4,7639.1,7854.8,7958,8119.4,8309,8464.5,8583.2,8694.2,8798.5,8882,8986.9,9062.6,9183.2,9386.9,9508.8,9620.1,9721.1,9809.4,9915,9993.7,10113,10316,10420,10580,10687,10838,11023,11226,11345,11457,11530,11649,11818,11934,12048,12148,12235,12343,12420,12543,12913,13092,13201,13415,13511,13632,13777,13881,14047,14148,14226,14344,14531,14656,14766,14843,14964,15243,15400,15505,15705,15812,16145,16253,16460,16568,16762,16866,17063,17168,17415,17520,17689,17878
1049.4,1209.3,1370.7,1510.5,1722.7,1865.8,2016.9,2125.1,2192.8,2335.2,2516.4,2630.5,2733.2,2801.7,2937.2,3097.6,3222.8,3325.9,3417.3,3505.8,3616.3,3688.2,3822.6,4050.7,4210.7,4335.6,4548.6,4683.8,4863.4,4980.9,5083.2,5176.3,5260.2,5374.4,5446.1,5587.1,5874.2,6004.4,6135.2,6368.8,6499.6,6664.2,6781.1,6882.5,6974.3,7066.8,7173.9,7241.3,7387.9,7579.6,7705,7899.1,8026.9,8256.3,8388.3,8537,8654.2,8759.3,8849.9,8937.4,9050.6,9119.3,9261.7,9460,9582.9,9685,9779.5,9864.9,9977.6,10044,10190,10357,10487,10624,10757,10966,11099,11300,11420,11521,11588,11730,11894,12008,12113,12205,12294,12407,12482,12623,12962,13133,13269,13471,13551,13701,13824,13952,14099,14212,14281,14423,14604,14728,14832,14901,15043,15304,15445,15577,15750,15877,16184,16317,16501,16633,16808,16938,17108,17245,17458,17585,17822,17955
