l,l,l,i,l,i,l,l,i,i,l,i,l,i,l,l,i,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r
1975.8,2144.4,2280.3,2470.6,2692,2907.1,3106.9,3255.3,3407.7,3714.8,3888.7,4021.1,4184.5,4328.4,4550,4670.9,4822.6,5123.8,5303,5425.8,5576.3,5675.3,5753.6,5868.1,6060.6,6176.6,6285.9,6360.3,6476.3,6645,6762.9,6881.8,6971.7,7056.2,7161.4,7235.8,7351.1,7675.3,7843.9,7952.1,8120.5,8297.7,8465.6,8580.2,8692.2,8767.2,8882.7,9088.8,9211.4,9321.3,9422.2,9507.5,9611.3,9687.2,9808.6,10031,10152,10261,10341,10459,10682,10822,10932,11034,11119,11223,11300,11417,11874,12012,12119,12303,12409,12557,12745,12907,13029,13137,13213,13332,13508,13632,13747,13824,13945
2009.9,2182.3,2318.8,2517.9,2731.6,2956.6,3147.5,3297.2,3463,3765.4,3926.7,4076.2,4228.2,4391.1,4596.7,4714.2,4877.6,5177.5,5345.8,5486.8,5627.4,5733.6,5803.6,5945.2,6131,6248.3,6351.2,6415.5,6554.8,6718.4,6835.2,6936.7,7028.6,7116.1,7226.3,7292.4,7429.7,7720.5,7886.5,8028.9,8244.9,8378.2,8538.9,8655.3,8758.1,8825.5,8962.3,9163.9,9286.8,9387.6,9481.3,9567.7,9675.8,9745.2,9888.4,10106,10224,10326,10397,10539,10757,10896,10998,11091,11179,11287,11358,11496,11926,12059,12186,12345,12477,12693,12825,12983,13104,13204,13270,13413,13585,13705,13810,13879,14025
