i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1814.3,1987.5,2098.5,2238,2342.2,2492.3,2677,2855.9,2974.3,3083.6,3184.1,3270.1,3375.3,3450,3565.3,3735,3855,3966.3,4065.6,4151.6,4256.6,4332.8,4451.8
1863.7,2032.3,2156.1,2282.1,2405.3,2623.5,2751.1,2924.8,3044.8,3148.2,3241.7,3324.3,3435.5,3505.9,3642.5,3807.4,3927.3,4029.3,4121.2,4210,4321.2,4388.7,4527.9
