l,l,l,i,l,i,l,i,f,a,b,r,i,l,w,r,n,n,a,d,f,a,b,r,i,l,f,a,b,r,i,l,w,r,n,n,l,l,l
2420.9,2570.3,2877.7,3053.3,3229.2,3363.6,3558.2,3690.6,3834.7,3936.5,4011.9,4136.1,4413.1,4606.4,4897.8,5063.7,5266.9,5399.9,5506.7,5609.3,5700.5,5804.2,5879.4,6001.6,6294.5,6480.7,6747.2,6846.9,6925.5,7047,7299.6,7440.7,8071.3,8233.3,8417.5,8542.5,8758,9110.2,9651.2
2453.8,2602.5,2912.1,3101.9,3265.4,3413,3594.3,3722.1,3880.8,3992.9,4066.4,4207.2,4462.4,4646.5,4995.9,5132.7,5332.9,5468.3,5567.9,5664.4,5748.3,5859.2,5933.3,6066.3,6341.6,6517.1,6804,6906.5,6975.1,7116.2,7344.8,7476.8,8166.9,8304.7,8484.2,8591.6,8789.5,9151.8,9687
