l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i
1655.2,1808.5,1987.9,2178.6,2346.4,2481.8,2666.8,2779.4,2936.9,3037.3,3111.8,3224.8,3412,3530.5,3634.7,3735.2,3820.4,3925.5,4000.6,4116.5,5142.9
1685.6,1841.5,2030.5,2232.8,2389.6,2546.2,2710.8,2850.4,2989.7,3100.2,3169,3304.1,3482.8,3602.9,3699.6,3794.2,3879.2,3990.1,4057.7,4193.6,5180.2
