l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1992.1,2118.9,2292.5,2400,2594.5,2701.8,2891.1,2996,3169.2,3326.8,3490,3603.8,3711.2,3785.8,3901.7,4079.6,4203,4312.5,4413,4498.7,4605.1,4681.7,4797.5,5194.1,5358.6,5464.6,5610.2,5812.7,5970.4,6087.4,6197.1,6272.7,6390.7,6594.2,6719.2,6831.9,6931.7,7017.8,7125.4,7203.9,7321.1
2027.8,2169.8,2334.1,2459.8,2636,2760.2,2931,3058.6,3275.4,3403.3,3561.8,3676,3775.3,3842,3978.6,4154.3,4275.3,4378.3,4469.9,4561.3,4670.7,4738.8,4877.2,5251.1,5402.7,5536.3,5756.7,5891.6,6041.9,6164.4,6263.8,6333.5,6471.2,6667.2,6792.9,6897.2,6990.1,7076,7192.5,7264.8,7399.1
