l,i,l,i,w,r,n,n,a,d,f,a,b,r
1179,1311.7,1520.5,1636.8,1795.6,1985.3,2143.2,2266.2,2377.7,2477.4,2564.1,2670.5,2748.3,2871.1
1219.6,1362.3,1562.2,1705.8,1920.3,2063,2216.3,2340.2,2441.9,2534.4,2618.1,2733.6,2802.5,2947.9
