i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1099.6,1329.4,1490.8,1686.3,1809,1964.1,2067.2,2140.6,2257.4,2457.6,2578.8,2688.5,2790.7,2873.7,2979.4,3054.2,3174.7,3500,3682.8,3793.3,3950.3,4139.8,4305.1,4428.2,4539.5,4614,4732.2,5113.8,5265.8,5369.2,5528.6,5630.3,5704.9,5821.9,5985.2,6107.8,6219.3,6322.4,6405.2,6513.1,6588.5,6710.5,7021.7,7176.3,7283.1,7440.5,7545.5,7621,7739.5,7906.3,8029,8140.7,8240.8,8327.6,8433.3,8508.8,8630.2,8899.1,9094.6,9198.2,9357.5,9540,9725.2,9848.8,9958.9,10050,10166,10389,10494,10727,10829,10904,11027,11193,11313,11424,11524,11612,11719,11794,11913,12158,12310,12413,12575,12682,12756,12877,13268,13401,13506,13661,13854,14048,14166,14277,14378,14465,14573,14649,14773
1151.7,1369.1,1546.8,1724.3,1872.2,2019.8,2125.4,2195.2,2330.8,2529.5,2648,2750.3,2844.8,2927.8,3038.8,3112.2,3251.5,3550.9,3721.8,3865.5,4078.3,4215.9,4378.3,4498.4,4602.8,4668.6,4811.4,5165.6,5309.1,5441.4,5586.8,5688.4,5758.7,5902.6,6058.7,6180,6278.5,6375.7,6464.2,6574.7,6645.8,6788.4,7071,7220.2,7353.9,7499.5,7606.8,7674.1,7818.6,7981.4,8101.7,8203.4,8299,8383.8,8495.5,8562.6,8708.4,8948.8,9135.3,9266.8,9481.5,9616.1,9798.4,9919.2,10023,10103,10241,10430,10562,10784,10892,10957,11107,11266,11386,11488,11583,11667,11779,11852,11993,12209,12353,12479,12636,12745,12814,12957,13315,13446,13575,13797,13933,14120,14238,14341,14437,14522,14638,14711,14849
