l,l,i,l,i,l,l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
2311.2,2563,2768.1,3021.6,3238.9,3465.5,3606.2,3738.3,3857.5,4058.5,4421.6,4562.5,4736.3,4867.6,5055.7,5180,5329,5516.4,5701,5818.4,5926.6,6000.8,6118.4,6449.7,6630.1,6744.2,6974.9,7086.3,7235.7,7337.6,7411.3,7530.2,7814.5,7970.3,8081.3,8246.3,8350.8,8424,8542.6,8733,8852.7,8961.7,9062.3,9147.6,9254.6,9329.6,9448.8,9749.3,9928.9,10041,10211,10313,10388,10509,10686,10806,10916,11017,11107,11212,11287,11406,11860,12022,12128,12295,12464,12619,12742,12853,12927,13047,13251,13376,13486,13586,13671,13778,13853,13976,14271,14418,14524,15001,15113,15266,15447,15638,15756,15869,15943,16062,16298,16421,16531,16632,16718,16824,16899,17022,17322,17518,17629,17971,18218,18377,18488,18640,18829,19016,19132,19245,19348,19434,19543,19620,19740,19900,20024,20136,20238,20326,20431,20508,20631
2348.1,2601.6,2820.9,3061.1,3283.8,3507.4,3651.5,3779.5,3898.3,4105.7,4459.4,4621.1,4778.4,4926.4,5100,5239.3,5462.2,5590.3,5771.9,5886,5990.9,6056.6,6199,6502.4,6673.7,6810.5,7020.2,7154,7292.7,7400.3,7472.8,7609.6,7866.8,8014,8152.4,8303.5,8414.5,8484.4,8621.3,8804.6,8923.9,9025.1,9119.1,9202.4,9317.7,9391,9529.1,9803.3,9970.1,10110,10268,10378,10446,10588,10758,10879,10981,11076,11163,11275,11342,11486,11902,12063,12187,12407,12544,12694,12813,12917,12984,13124,13325,13449,13549,13642,13727,13842,13910,14054,14322,14463,14595,15041,15177,15391,15524,15711,15831,15934,16005,16144,16369,16493,16595,16687,16778,16887,16957,17101,17382,17562,17699,18009,18273,18418,18562,18775,18906,19091,19210,19309,19405,19490,19608,19677,19821,19976,20098,20201,20296,20385,20498,20567,20711
