l,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,i,l,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1084.7,1581,1687.4,1976.9,2086.2,2246.4,2351,2430.9,2547.4,2765.6,2886.9,2998.1,3099.1,3186.3,3295.3,3374.6,3495.7,3716,3848.5,3956,4061,4149.8,4259.2,4341.1,4459.1,4794.4,4972.4,5112.7,5283.1,5441.9,5599.7,5720.8,5836.9,5943.9,6030.6,6138.9,6222.7,6343.8,6711.7,6904.1,7010.1,7050.9,7167.9,7596.5,7699.7,7883.1,7986.7,8155.3,8261.2,8340.9,8463.6,8619.7,8751.8,8864.2,8946.2,9065.5,9510.6,9672.8,9782.5,9935.5,10136,10338,10462,10574,10653,10776,11508,11624,11810,11915,12146,12252,12416,12612,12828,12954,13064,13146,13269,13486,13615,13730,13834,13923,14035,14117,14244,15022,15147,15372,15490,15687,15799,16034,16150,16307,16501,16700,16827,16944,17053,17143,17264,17335,17461
1117,1619.4,1757.9,2017.2,2150.8,2303.9,2415.3,2489.6,2629.6,2838,2959.9,3061.8,3157,3245.4,3361.6,3431,3574.2,3786.7,3919.8,4025.3,4120.4,4210.1,4324.9,4389.3,4542.2,4848.1,5018.5,5160.4,5387.6,5524.5,5672.9,5792.8,5904.4,6000,6092.4,6203.2,6274.8,6423.3,6765.1,6946.8,7045.8,7083.7,7207.9,7636.2,7733.9,7926.4,8022.9,8213.1,8325.9,8397.6,8544.7,8693.4,8824,8931.7,9001.7,9151.2,9568.8,9721.3,9862.4,10076,10218,10413,10532,10641,10715,10859,11545,11689,11849,11988,12188,12335,12554,12692,12902,13025,13134,13206,13352,13561,13691,13795,13894,13986,14105,14176,14327,15061,15201,15417,15563,15729,15872,16080,16226,16442,16583,16776,16905,17016,17114,17205,17321,17394,17543
