l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1242.4,1664,1877.2,1981.8,2059.3,2176.2,2361.4,2482,2593.2,2693.4,2777.2,2884.6,2960.4,3077.5,3394.6,3614,3719.4,3876.4,3980.2,4053.6,4173.2,4337.2,4459.5,4568.5,4667.2,4752.7,4859.8,4934.5,5054.2,5466.4,5648.7,5753.9,5907.9,6099.5,6289,6406.5,6513.5,6615.8,6701.2,6807.3,6881.6,7000.9,7181.4,7302.5,7414,7513.9,7600.2,7706.3,7781.1,7902.3,8341.6,8498.6,8604.7,8762.9,8865.8,8941.6,9059.4,9248.6,9364.8,9474.4,9552.5,9669.2,10218,10386,10490,10786,10889,11031,11221,11399,11518,11630,11721,12048,12151,12848,12978,13154,13262,13418,13521,13597,13715,13880,13999,14110,14187,14306,14492,14610,14721,14821,14906,15012,15089,15211
1276.8,1709.9,1929,2039.2,2111.5,2248.5,2432.3,2552.4,2652.8,2743.2,2832.1,2943.3,3016.2,3151.7,3443.8,3652.7,3784.4,3936.8,4042.3,4114.2,4249.6,4409.6,4530.3,4629.7,4723.4,4806.2,4917.5,4992,5127,5523.9,5689.7,5816.3,6044,6174.1,6360.3,6475.9,6579.2,6671.3,6757.5,6869.5,6943.1,7079.2,7258.9,7376.6,7478.5,7570.5,7661,7769.4,7839.6,7977.2,8385.2,8539.2,8676.3,8823,8928.7,8999.7,9135.7,9322.6,9439.3,9538.5,9607.1,9748.4,10266,10429,10559,10825,10947,11166,11300,11472,11591,11693,11765,12086,12218,12887,13028,13194,13331,13477,13582,13650,13793,13953,14075,14174,14242,14387,14565,14683,14782,14879,14961,15072,15147,15286
