l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1982.3,2261.5,2399.8,2544.4,2706.9,2897.8,3051.9,3256.4,3420.2,3601.7,3781.9,3970.5,4093.4,4300.2,4405.5,4556.3,4746.7,4931.9,5047.7,5155.1,5229.5,5345.8,5522.8,5640.8,5750.7,5851.5,5936.1,6041.1,6118,6236.2,6537.2,6704.8,6813.2,6973.2,7076.2,7150.5,7266.7,7450.2,7569.9,7679.8,7780.3,7867.5,7972,8049,8170.7,8461.1,8642.7,8759.3,8928.4,9030.1,9105.3,9222.7,9392.9,9510.2,9622.2,9722.1,9810.4,9916.8,9992.1,10110,10470,10635,10737,10894,11068,11217,11336,11445,11546,11633,11739,11816,11933,12217,12390,12493,12718,12828,12986,13172,13362,13482,13594,13696,13784,13889,13966,14090,14301,14411,14691,14818,15033,15201,15312,15496,15600,15835,15941,16097,16276,16443,16562,16674,16756,16872,17041,17161,17275,17377,17464,17571,17649,17770
2015.3,2299.7,2437.1,2581.8,2751.4,2934.4,3097.3,3294.4,3475.2,3641,3829.8,4010.3,4153.4,4341.3,4476.5,4695.6,4822.2,5000.3,5117.9,5217,5285,5422.4,5593.7,5711.1,5812.3,5905.8,5989,6101.4,6173.8,6310.9,6590,6747.3,6884.4,7030.5,7135.5,7209.5,7344.5,7522.2,7640.5,7745,7836.8,7926.7,8032.5,8105.3,8247.5,8515.9,8685.8,8826.3,8980,9093.2,9161,9300.4,9466.9,9584.8,9687.3,9778.2,9869.8,9976.3,10053,10188,10525,10678,10806,11011,11146,11290,11407,11510,11604,11692,11803,11872,12012,12273,12435,12556,12764,12898,13115,13250,13437,13556,13661,13754,13842,13949,14017,14167,14343,14485,14729,14863,15090,15245,15379,15541,15672,15878,16009,16222,16354,16516,16634,16741,16809,16951,17116,17238,17339,17436,17519,17633,17707,17844
