l,l,l,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i
1741.8,1975.9,2122.1,2424.4,2644.2,2811.7,3018.9,3216.7,3427.3,3579.4,3761.9,3878.8,4079.6,4188.6,4342.7,4441.2,4515,4633,4822.9,4940.5,5053.8,5127.4,5240.4,5424.9,5545.5,5659.2,5757.4,5841.7,5946.8,6020.3,6141.2,6408.6,6560.9,6667.6,6826.9,6926.9,7000.2,7117.8,7313.2,7434.7,7550.8,7621.8,7736.9,7914.7,8033.6,8145.5,8244.9,8326.8,8442.4,8508.6,8628.2,8892.7
1781.7,2015.8,2162.3,2469.1,2689.1,2862.4,3062.3,3270.3,3473.8,3636.5,3811.8,3949.1,4128.9,4264.6,4399.3,4508.6,4577.4,4713.5,4895.9,5014.3,5110.8,5178.6,5320.9,5501.6,5620.1,5723.4,5814.9,5902.1,6012.3,6084.9,6217.3,6468.1,6612.2,6739.5,6883.9,6992.1,7059.2,7197.3,7386.3,7509.2,7600.8,7669.2,7818.2,7991.5,8113.4,8212.1,8300,8390.4,8491.8,8559.7,8706.5,8954.8
