l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1989.4,2189.5,2381.4,2577.4,2771.7,2893.8,3041.8,3150.9,3291.7,3409.1,3691.3,3811.1,3959.6,4059.2,4137.6,4252.3,4428.2,4546.9,4656.3,4732.5,4850,5043.2,5166.1,5275.7,5375.5,5461.8,5569,5645.2,5764.5,6029.5,6195,6301.5,6447.6,6634.2,6798.4,6917.6,7027.8,7130.5,7217.8,7323.9,7400.3,7520.7,7884,8043,8149,8309.4,8418.3,8571.2,8754.7,8908.8,9026.2,9103.9,9223.6,9433.4,9554.3,9665.9,9767.9,9853.2,9959.9,10036,10160,10509,10662,10772,10924,11105,11255,11377,11491,11595,11683,11792,11871,11990,12178,12300,12412,12517,12606,12715,12793,12916
2026.9,2238.5,2424.6,2629.3,2814.9,2956.8,3084,3214.3,3336.4,3474.9,3733,3880.1,4015.5,4123.1,4195.3,4331.3,4501.6,4619.4,4718.7,4788.6,4927.3,5115.6,5238.8,5339.1,5433.8,5517.1,5631.6,5697.4,5842.6,6078.7,6241.2,6378.8,6580.3,6713.4,6872.7,6990.5,7094.8,7188.6,7278.2,7389,7467.3,7599.7,7941.5,8084.2,8224.8,8354.1,8491.5,8702.9,8833.4,8984.3,9090.6,9162.2,9302.3,9507.1,9628.9,9730.9,9825.2,9912.7,10026,10095,10237,10562,10708,10849,11052,11185,11328,11452,11557,11654,11742,11856,11932,12071,12252,12378,12479,12577,12665,12779,12852,12995
