l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1109.7,1289.8,1462.5,1675.7,1809.4,1978.2,2107.2,2444,2575,2756.8,2856.5,2933.9,3047.1,3238.5,3358.2,3463.9,3563.4,3649.8,3752.9,3826.6,3944.3,4134.2,4253.7,4360.2,4461.4,4546.8,4655.3,4730.6,4850.4,5261.3,5390.2,5556.9,5684.4,5837.4,5997.4,6219.8,6335.3,6442.7,6522.3,6634.9,6984.8,7135.3,7240.8,7419.1,7591.1,7768,7884.9,7995.2,8097.1,8183.5,8289.6,8365.1,8483.9
1148.6,1325.2,1504.7,1710.6,1852.5,2018.8,2146.1,2482.3,2631,2805,2914.8,2980.8,3117,3306,3425,3523.8,3617.4,3707.4,3811.8,3880.4,4019.2,4205.7,4323.4,4425.2,4517.6,4605.7,4718.2,4782,4923.5,5298,5428.5,5597.5,5721.5,5938.9,6070.2,6290.1,6404.7,6507.2,6575.1,6712.7,7031.6,7175.5,7308.7,7536.4,7667.6,7840.4,7956.1,8059.2,8151.7,8236.3,8352.3,8417.2,8558.6
