l,l,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1779.1,1988.6,2227.3,2384.5,2562.4,2669.2,2862.7,2972.1,3125.9,3301.2,3483.8,3603.7,3715.1,3788.8,3905.3,4077,4201,4311.6,4386.2,4504.3,4662.7,4783,4893.1,4989.7,5075.2,5180.1,5255.5,5373.6,5564.5,5692.5,5805.6,5907.4,5992.3,6101,6173.8,6292.4,6479.7,6601.9,6713.2,6812.2,6897.4,7005.7,7081.3,7199.9,7461.5,7620.8,7723.6,7889.5,8075.3,8243.8,8367.3,8476.1,8578,8664.4,8771.7,8846.7,8967.2,9195.4,9335.4,9445.3,9545.8,9633,9740.6,9817.7,9937.5,10137,10264,10375,10476,10565,10670,10747,10866
1811.8,2024.8,2263,2430.8,2602.3,2725.7,2904.9,3032.8,3245.6,3377.2,3554.4,3672.9,3774.4,3842.1,3977.6,4151.2,4271.6,4372.3,4447.2,4583.8,4736.2,4853.9,4953,5044.8,5130.8,5245.3,5318.4,5451.9,5637.7,5766.8,5870.5,5962.3,6054.3,6163.6,6230.9,6370.5,6552.2,6674.3,6775.7,6868.8,6951.9,7068.3,7138.9,7279.3,7509.5,7661.6,7795.3,8024.5,8154.1,8319.6,8440.2,8543.4,8636.7,8720.2,8836,8903.7,9047.4,9268.8,9406.7,9510,9603.5,9693.4,9804,9873.1,10016,10212,10338,10439,10535,10619,10731,10803,10942
