l,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n
1719.2,1991.9,2178.7,2346.5,2456.8,2596.4,2702.3,2849.3,3035.1,3203.9,3324.1,3433.1,3509.1,3629.9,3799.6,3926.2,4033.4,4134.7,4220.7,4326.1,4404.5,4520.3,4737.7,4837.8,5014.4,5171.9,5323.1,5450.2,5565.1,5644,5770.1,6131.7,6287.6,6386.8,6551.9,6745.1,6923.5,7044.1,7155.9,7260.5,7345.2,7450.8,7526.6,7646.9,7820.6,7947.7,8059.5,8137.2,8257.8,8560.8,8712.6,8816.4,8989.8,9177.8,9356.1,9483.5,9591.1,9694.8,9782.2,9890.8,9968.5,10087,10471,10576,10783,10891,11068,11254,11427,11525,11683,11784,11862,11980,12153,12284,12395,12475,12597,12781,12909,13020,13124,13213,13319,13399,13518,13850,14002,14105,14271,14373,14452,14572,14766
1755.2,2034.1,2228.6,2385.5,2519.8,2641,2769.8,2980.9,3109.2,3274.4,3393.4,3498,3565.9,3710.2,3871,3995.1,4099.6,4191.7,4281.3,4391.3,4460,4600.2,4778.3,4900.3,5119.8,5256.8,5398.7,5521.8,5631.6,5700.6,5851.4,6188.9,6329.7,6461.5,6691.5,6827.1,6996.1,7119.6,7225.8,7320.8,7406.2,7515.9,7586.4,7729.5,7893.3,8021.3,8127.8,8197.4,8332.7,8622.5,8755.4,8887,9124.4,9260.7,9432.1,9555.8,9656.5,9751.4,9840.7,9955,10022,10167,10512,10641,10828,10948,11129,11319,11471,11601,11743,11852,11923,12062,12228,12357,12461,12533,12679,12856,12984,13087,13183,13275,13389,13459,13600,13906,14046,14183,14331,14442,14515,14654,14841
