l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1337.6,1569.3,1748.7,1970.7,2111.9,2334,2473.3,2723.6,2876.8,3078.1,3220.5,3366.9,3468.8,3545.9,3662,3833.3,3954.8,4065.2,4166.5,4253.5,4360.8,4436,4558.4,4903.3,5102.9,5210.6,5358.6,5545.5,5705.2,5829.8,5940.9,6016.2,6137,6399.6,6556.3,6658.1,6828.5,6928.1,7004.3,7123.1,7283.6,7410.8,7520.3,7600.7,7718.2,7918.5,8041,8153.2,8253.4,8341.9,8449.1,8525.7,8646.4,8940.5,9114.1,9218.8,9373.3,9570.8,9735.3,9868.7,9978.8,10084,10171,10277,10353,10475,10655,10780,10894,10969,11090,11400,11619,11724,11878,12081,12247,12371,12483,12587,12673,12781,12858,12980,13179,13301,13416,13518,13606,13715,13791,13917
1372.7,1609.3,1790.5,2012,2159.9,2373.5,2521.8,2763.1,2926,3118.2,3274.7,3422.2,3529.8,3601.7,3740.9,3906,4026.5,4123.3,4221.5,4309.4,4420.1,4491.6,4634.5,4953.9,5146.7,5275.5,5489.9,5622,5776.6,5899.2,6000.9,6077.8,6218.4,6453.4,6600.2,6727.4,6883.8,6991.7,7062,7201.8,7358.8,7481.9,7584.9,7651.6,7800,7995.1,8115.2,8215.4,8312.3,8401.2,8514.1,8588.5,8724.1,8990.6,9161.4,9283.4,9516,9651.6,9810.3,9942.5,10044,10141,10231,10342,10408,10551,10729,10854,10959,11031,11167,11449,11663,11792,12025,12161,12324,12444,12548,12642,12729,12847,12918,13063,13255,13377,13481,13575,13662,13780,13856,13998
