l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1978.8,2137.4,2311.2,2453.6,2631.8,2733.4,2885.2,2986,3129,3296.4,3445.2,3558.9,3662.5,3735.6,3848.4,4015.1,4130.1,4235,4332,4416.6,4519.2,4594.8,4709.6,4916.2,5035.2,5141.4,5238,5323.1,5424,5499.3,5614.3,5812.3,5927.6,6035.5,6133.9,6215.3,6318.5,6394.4,6516.4,6975,7135.7,7237.5,7381.4,7563.2,7735.1,7861.1,7971.3,8069.5,8154.3,8258.6,8332.2,8453
2016.7,2182.8,2349.5,2503.7,2671.2,2791.2,2925.1,3047.2,3244.7,3367.6,3516.3,3625.6,3720.7,3790.8,3926.6,4084.8,4197.5,4293.8,4386.7,4470.2,4577.5,4646.5,4783.1,4988.6,5106.4,5198.9,5290.8,5374.8,5483.2,5548.9,5690.8,5881.8,5999,6096.2,6189.3,6275.6,6384.2,6450.2,6589.2,7024,7176.7,7310.8,7512.8,7640.2,7806.7,7932.1,8031.2,8125.2,8214,8317.5,8388.7,8530.1
