l,i,l,i,l,i,l,i,l,i,l,i,l,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1991.6,2161.5,2445.4,2595.7,2777,2895.2,3315.3,3533.7,3780.5,3894.8,4475.8,4600.5,4844.6,4973.2,5088.5,5389.8,5563,5996.9,6099.6,6255,6433.3,6591,6706.4,6815.5,6890.6,7006.6,7160.3,7288.6,7397.8,7498,7581.7,7686.4,7761.8,7880.1,8259.1,8403.6,8508.6,8669,8772.9,8848.4,8968.4,9153.8,9271.6,9387.8,9489.9,9574.8,9680.2,9756.3,9876.4
2033.9,2208,2487.7,2656.1,2819.3,2956.8,3358,3593.7,3823,3963.9,4519.9,4658.8,4891.5,5020,5163.8,5443.4,5595.6,6034.8,6171.9,6377.2,6504.3,6661.2,6779.6,6877.9,6945.2,7081.9,7236.2,7358.9,7462.5,7553,7638.1,7750.8,7813.7,7954.7,8312.8,8449.8,8584.3,8730.9,8839.4,8909,9046,9227.4,9346.4,9454.1,9546.2,9635.3,9746.4,9815.9,9953.9
