i,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1148.6,1383.6,1610.6,1776.2,1988,2140.3,2335.4,2465.8,2680,2846,3032.8,3151.4,3310.7,3410.8,3486.2,3600.5,3749.5,3867.3,3976.9,4051.3,4167.8,4376.1,4494.4,4599.7,4696.9,4782.1,4886.7,4960,5081.7,5352.9,5531.8,5636.9,5780.5,5974.8,6165.6,6292,6399.1,6475.8,6592.1,6782.5,6900.8,7012.1,7112.3,7199.6,7304.4,7381.2,7499.5,7668.7,7795.3,7905.2,8006.2,8090.6,8195.7,8272,8391.5,8686.7,8833.3,8946,9095.9,9283,9455.4,9579.3,9690.4,9764.8,9885,10119,10237,10346,10447,10530,10637,10713,10831,11126,11343,11456,11624,11727,11803,11922,12124,12243,12357,12459,12545,12651,12728,12849,13064,13194,13308,13411,13497,13608,13684,13805
1195.1,1417.6,1648.2,1816.5,2027.8,2187.2,2374.7,2502.8,2721.7,2899.9,3074.7,3214.2,3368.6,3467.5,3540.2,3675.5,3821.2,3936.4,4034.9,4103.8,4245.2,4445.8,4563,4662,4751.2,4834.9,4947.6,5018.5,5158.4,5401.2,5572.7,5710.2,5919.8,6047.7,6236.3,6361.2,6463.4,6531.2,6670,6855.3,6973.5,7074.7,7168.5,7253.6,7367.6,7432.9,7580.1,7740.8,7866.9,7967.5,8062.7,8143.8,8261,8328.8,8471.3,8739.7,8879.4,9006.2,9230.6,9364.7,9529.1,9651.3,9754.7,9823.6,9962.3,10190,10307,10408,10501,10586,10701,10771,10910,11177,11387,11525,11685,11791,11859,12002,12197,12318,12423,12515,12602,12714,12785,12930,13136,13270,13373,13469,13559,13670,13742,13885
