l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1982,2148.9,2330.8,2498.4,2661.1,2791.4,2950.7,3076.8,3293.2,3403.8,3557.8,3743.8,3918.7,4036.6,4141.2,4214.8,4328.9,4518.3,4638.2,4744.6,4846.5,4934.1,5039.6,5113.4,5233,5557.2,5755.7,5893.9,6012.8,6202.3,6386.1,6502.6,6614.2,6717.2,6801,6907.6,6983.2,7100.1
2017.1,2197.3,2368.5,2543.3,2704.1,2843,2990.2,3137.6,3331.7,3470.7,3689.8,3819.2,3990.1,4103,4199.3,4272.5,4406.8,4590.4,4709.3,4810.8,4903.4,4990.8,5098,5170.8,5309.6,5616.8,5798.8,5944,6147.8,6278.3,6457.9,6573.2,6679.4,6772.5,6862.3,6972,7043.5,7178
