l,l,i,l,i,l,l,i,l,i,l,i,l,i,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1712.7,1971.2,2212.2,2383.1,2546.8,2764.3,2891.2,3116.8,3305.9,3442.4,3658.1,3773.6,3926.8,4053.3,4320,4460.8,4577.1,4826.5,4967.3,5157.8,5287.8,5461.1,5569.1,5716.9,5901.6,6073.9,6186.4,6294.5,6368.8,6485,6657.7,6778.8,6887.7,6986.2,7071.8,7176.5,7251.8,7368.1,7673.8,7843.9,7951.6,8106.8,8285.3,8467.8,8583.5,8693.2,8769.8,8884,9065,9180.1,9288.5,9388.4,9474.3,9580.2,9655.1,9773.5,10440,10585,10695,10854,10954,11030,11147,11383,11505,11615,11715,11799,11904,11980,12099
1745.2,2009.5,2257.2,2421.5,2594.1,2802.2,2932.6,3166.3,3346.6,3497.6,3696.2,3833.6,3968.6,4116.3,4359.1,4500.2,4643.9,4865,5024.5,5200.7,5349.5,5508.4,5640.1,5847.6,5978.8,6144.5,6257.9,6356.9,6426,6559.8,6728.2,6849.8,6948.7,7043.6,7132.6,7240.8,7307.4,7447.2,7723.4,7885.4,8015.1,8234.7,8361.5,8540.1,8655.4,8758.1,8825.2,8961.8,9136.9,9253.4,9353.6,9444.5,9532.2,9643.4,9714.3,9847.4,10498,10630,10763,10910,11018,11092,11223,11453,11578,11679,11771,11858,11970,12040,12179
