l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1991.4,2146.1,2312.4,2414.9,2617.2,2718.1,2862.8,2967.3,3120.6,3293.1,3438.3,3552.5,3657.7,3733,3848.6,4036.2,4158.8,4267.1,4366.6,4451.3,4554.9,4628.8,4749.6
2024.9,2189.9,2351.6,2483.8,2656.2,2791.1,2906.3,3036.7,3240.8,3369.8,3508.8,3624.7,3721.7,3789.4,3925.5,4108,4231.7,4331.2,4423.9,4510.3,4616.4,4689.6,4825.8
