l,l,l,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,b,r,i,l,i,f,a,b,r,l,i,l,i,l,i,l,i,l,i,i,f,a,b,r,n,n,a,d,f,a,b,r
1996.6,2922.9,3531.5,3699.4,3971.2,4148,4339.3,4465.8,4640.2,4748.5,4929.9,5034.8,5185,5287.2,5360.8,5473.1,5643.6,5762.6,5866.7,5945.8,6060.2,6248.3,6366.2,6474.3,6550.1,6665.6,6965.4,7145.5,7260.1,7436.8,7538.1,7612,7728.6,8438.9,8574.3,8746.5,8862.9,9084.2,9211.8,9420.8,9530.5,9714.7,9816.1,10090,10235,10334,10407,10524,10716,10838,10948,11049,11134,11238,11313,11433
2055.9,2956.2,3565.2,3739.4,4006.9,4195.5,4376,4516.4,4674.5,4801.5,4968.3,5094.8,5242.1,5344.7,5413.8,5548.3,5715.9,5832.1,5931.1,5997,6135.3,6319.5,6436.7,6535.9,6604.2,6737.9,7015.2,7187.6,7323.5,7485.4,7602.1,7666.4,7804.6,8476.7,8626.7,8787,8928.7,9127,9273.7,9460.5,9599.3,9757.8,9882.4,10139,10291,10397,10461,10602,10789,10911,11014,11105,11188,11304,11371,11509
