l,l,i,l,i,l,i,i,l,i,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1705.7,2332.3,2530.2,2661.8,2805.7,3002.2,3123.7,3420.1,3609.3,3720.9,4162.8,4335.9,4445.1,4611.4,4715.5,4792.3,4912.3,5080.1,5203,5316.5,5420.8,5510.5,5618,5698.3,5815.7,6013.9,6139.9,6251.8,6329.2,6451.3,6622.2,6751.3,6864.5,6968.3,7057.3,7166,7239.6,7367,7691,7852.2,7962.7,8126.2,8233.1,8400.9,8505.2,8580.8,8704.1,8885.3,9007.9,9121.5,9228.6,9314.7,9424.2,9503.8,9626.3,10134,10283,10394,10605,10716,10908,11013,11092,11213,11396,11518,11632,11735,11822,11932,12010,12134,12304,12432,12547,12653,12744,12853,12936,13060
1737.7,2365.8,2575.6,2706.3,2844.9,3047.8,3187.2,3469.2,3649.5,3787.9,4211.3,4376.6,4515.5,4671.9,4780.9,4852.9,4992.7,5154.9,5274.6,5384.1,5479.8,5574,5683.2,5761.3,5897.6,6087.4,6214.3,6320.8,6394.6,6534.1,6699.1,6824.7,6930.8,7025.6,7118.4,7233.7,7304.2,7449.4,7754.2,7901.1,8041.2,8177.9,8313.1,8462.1,8575.2,8643,8788.3,8961.4,9084.5,9190.8,9288.2,9378,9492.6,9570.8,9709.5,10199,10332,10479,10654,10796,10970,11087,11154,11298,11472,11594,11699,11795,11887,12002,12072,12219,12382,12506,12617,12714,12807,12924,12992,13141
