l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,l
1607.2,1783.3,1978.9,2302.2,2457.4,2559,2723.5,2893.9,3070.9,3187,3290.6,3371.1,3483.1,3681.1,3794.1,3904.9,3981.5,4095.4,4397.9,4546.5,4652.4,4871.9,4974.9,5119.6,5305,5522,5644.5,5751.7,5828.7,5942,6113.7,6229.4,6334.7,6414.8,6529.8,7184.7
1637.9,1829,2015.6,2348.5,2492.6,2615.9,2835.8,2959.4,3138.9,3252.1,3349.1,3418.2,3558.3,3749.5,3868.5,3961.7,4033.2,4165.1,4443.9,4585.5,4724.8,4911.2,5038.4,5252.8,5376.5,5590.6,5713.1,5809.3,5879.1,6014.3,6186.8,6300.7,6399.1,6462,6604.8,7237.8
