l,i,l,i,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1640.1,1789,1985.1,2140.5,2341,2470.5,2619.8,2825.3,2974.1,3167.5,3337.7,3536.2,3718.2,3902,4008.3,4221.4,4357.7,4474.7,4658,4822.4,4942.7,5047.7,5147.7,5231.4,5335.2,5407.3,5524.1,6049.8,6151.9,6337,6434.9,6510.4,6625.3,6803,6925,7032.4,7130.6,7215.1,7321.7,7394,7510.7,7825.1,7989.1,8094.7,8238.9,8444.6,8627,8744,8853.7,8953.2,9039.7,9143.9,9217.5,9336.2,9528.9,9651,9760.5,9859.6,9945.4,10050,10126,10244,10624,10797,10897,11048,11237,11399,11515,11624,11725,11811,11915,11990,12110,12308,12434,12545,12646,12734,12842,12916,13043
1676.3,1835.9,2023.8,2183.6,2381,2510.9,2671.7,2863.9,3033.7,3211.2,3394.8,3576.5,3770.2,3945.9,4077.9,4266.3,4397.1,4608.6,4735.5,4893.5,5011.2,5113.6,5204.6,5289.5,5395.8,5470.6,5598.1,6089.9,6224.2,6390.3,6494.5,6566.4,6705.3,6874.6,6994.6,7096,7187.7,7272.6,7383.3,7450.6,7589.8,7877.8,8033.5,8170.8,8379.4,8525,8700.5,8815.3,8919.3,9011.4,9099.1,9207.7,9277.7,9415.4,9600.8,9723.3,9826,9917.7,10003,10115,10188,10325,10680,10844,10970,11183,11316,11472,11587,11690,11782,11867,11979,12050,12188,12383,12508,12612,12704,12789,12905,12975,13121
